OrderID,Carrier,Origin,Distance_KM,Weight_KG,Cost_USD,Emission_Factor,CO2_kg
1001,Air-Express,Singapore,1445,2657.313394213891,3971.273003364955,0.5,1919.9089273195364
1002,Ocean-Freight,Shanghai,8724,4950.745372492012,3971.273003364955,0.01,431.90302629620317
1003,Ocean-Freight,New York,4177,375.3009102389737,3971.273003364955,0.01,15.676319020681934
1004,Ocean-Freight,New York,2573,4960.954601847144,3971.273003364955,0.01,127.64536190552701
1005,Ground-Truck,London,3081,4035.048781552404,3971.273003364955,0.11,1367.5183825559252
1006,Rail-Link,New York,6462,1331.9463326511543,3971.273003364955,0.03,258.21111604775274
1007,Ocean-Freight,Singapore,935,1985.7366163236984,3971.273003364955,0.01,18.566637362626583
1008,Rail-Link,Shanghai,3040,4271.976003591171,3971.273003364955,0.03,389.60421152751485
1009,Rail-Link,New York,6496,44.41522426850679,3971.273003364955,0.03,8.655638905446603
1010,Ground-Truck,Singapore,6045,4887.238500125497,3971.273003364955,0.11,3249.7692406584497
1011,Ocean-Freight,New York,7241,3063.3372751578386,1994.4941564800492,0.01,221.81625209417908
1012,Rail-Link,London,9392,3392.572359022001,1932.13281015366,0.03,955.8911878780389
1013,Ocean-Freight,New York,9899,565.8180727413709,3503.776948684501,0.01,56.0103310206683
1014,Rail-Link,New York,13900,4497.576202138568,538.3241743879169,0.03,1875.4892762917825
1015,Rail-Link,London,2443,3082.80878866119,1649.8717170948453,0.03,225.9390561209786
1016,Air-Express,New York,11613,1965.792244607484,6186.93213823941,0.5,11414.372668313355
1017,Rail-Link,London,7761,2372.111552790058,2372.1481699118654,0.03,552.2987328361093
1018,Rail-Link,London,7676,2132.564562747604,5411.167970326378,0.03,491.08696750951833
1019,Ocean-Freight,Shanghai,13501,864.6749668812461,551.5769555400009,0.01,116.73976727863703
1020,Air-Express,Shanghai,779,333.7308073644785,3773.166855855824,0.5,129.98814946846437
1026,Rail-Link,Singapore,3206,1542.5600272218342,6267.352377273702,0.03,148.363423418196
1027,Rail-Link,Singapore,2403,1605.844588977931,3890.018266838897,0.03,115.76533641941904
1028,Air-Express,Shanghai,10095,368.3235283033059,4663.9282217882455,0.5,1859.1130091109367
1029,Air-Express,Singapore,3107,4248.666209672837,1977.3952937573931,0.5,6600.302956726751
1030,Rail-Link,Singapore,9801,3818.888626281343,4815.7643753752845,0.03,1122.8678227855032
1031,Ground-Truck,New York,6008,689.5331187388376,5592.767683181512,0.11,455.698647512123
1032,Ground-Truck,Singapore,12507,1713.5258960631695,828.011858539009,0.11,2357.4175220268266
1033,Ground-Truck,Shanghai,4327,4873.218027656281,2342.9274548581125,0.11,2319.50558462356
1034,Rail-Link,New York,9538,2243.4474429719767,809.101646990969,0.03,641.9400513320014
1035,Ocean-Freight,London,928,1001.2512638931408,1372.034536797013,0.01,9.291611728928347
1036,Rail-Link,Singapore,12949,4807.561357975826,5419.462972796052,0.03,1867.5933607328689
1037,Air-Express,New York,6959,2140.81593719522,4508.914896151922,0.5,7448.969053470768
1038,Air-Express,London,12446,2704.220664342299,3228.6826498980517,0.5,16828.365194202128
1039,Air-Express,Shanghai,10249,3114.6094589272466,611.2004448647382,0.5,15960.816172272675
1040,Ground-Truck,Shanghai,1320,1075.943427819847,7909.334087897392,0.11,156.2269857194418
1041,Rail-Link,London,172,2794.7563286135064,2847.6057100346547,0.03,14.42094265564569
1042,Rail-Link,Shanghai,7334,995.1001378043932,6039.367955887418,0.03,218.94193231972258
1043,Air-Express,Singapore,12493,679.363925349581,1375.9170529251037,0.5,4243.6467596961575
1044,Ground-Truck,Singapore,13089,1083.2660308652607,6020.796363465296,0.11,1559.675598579494
1045,Air-Express,Singapore,7774,422.3814182170208,5170.656678123001,0.5,1641.79657260956
1046,Ocean-Freight,Shanghai,7514,625.103345117089,5263.496966817171,0.01,46.97026535209807
1047,Rail-Link,New York,7580,3944.502877065114,2377.991389258539,0.03,896.9799542446068
1048,Rail-Link,Singapore,11244,2462.0717038970174,2712.0406246793787,0.03,830.5060271585419
1049,Rail-Link,London,11803,4329.10708940321,1887.968844147196,0.03,1532.8935292867825
1050,Rail-Link,Shanghai,11047,1267.091834390416,2198.4038258548308,0.03,419.92690483532766
1051,Air-Express,Shanghai,3628,4828.722197457111,7555.548310381575,0.5,8759.3020661872
1052,Air-Express,New York,6408,3946.572006370231,7332.020588307357,0.5,12644.81670841022
1053,Ground-Truck,London,11170,2576.56898889323,5580.356943613263,0.11,3165.8303166531123
1054,Ground-Truck,New York,8033,3904.220260631356,6297.9466879118845,0.11,3449.886148901685
1055,Ground-Truck,London,2930,2685.450774445171,6282.675146642483,0.11,865.5207846036786
1056,Rail-Link,Shanghai,14255,3148.211645738053,2891.372420340904,0.03,1346.3327102998785
1057,Ocean-Freight,Singapore,8966,2504.140589154346,4714.892369785392,0.01,224.52124522357863
1058,Rail-Link,Shanghai,662,2864.947261831331,4412.054595429279,0.03,56.89785261997024
1059,Ocean-Freight,London,1549,4948.049790274545,6077.922177114942,0.01,76.64529125135269
1060,Air-Express,London,12939,313.97925668061066,7579.298325918212,0.5,2031.2888010952106
1061,Ground-Truck,London,6536,4237.641430769073,6537.582848378669,0.11,3046.6946830657325
1062,Air-Express,Shanghai,6246,313.8967201658702,4252.262323666323,0.5,980.2994570780126
1063,Ground-Truck,Singapore,14294,1003.2889119070568,847.0104292272121,0.11,1577.5112877479417
1064,Ocean-Freight,Shanghai,517,2260.518740101927,1619.1351499543907,0.01,11.686881886326962
1065,Rail-Link,London,1283,4961.794296837708,2807.8775987759595,0.03,190.9794624852834
1066,Air-Express,London,10160,2363.0794552946486,3660.881215848873,0.5,12004.443632896815
1067,Ocean-Freight,Shanghai,2856,4013.020133583887,7292.752241081906,0.01,114.61185501515581
1068,Ocean-Freight,London,1711,3472.6860796203778,4669.036715054243,0.01,59.417658822304666
1069,Air-Express,London,11295,2104.310941994729,1722.116702592872,0.5,11884.096044915234
1070,Air-Express,London,5479,3441.987229261453,5557.230681693919,0.5,9429.324014561751
1071,Rail-Link,Shanghai,9416,151.12996795715517,5154.212634571838,0.03,42.69119334853719
1072,Air-Express,Singapore,12527,2912.364965616792,2351.26206034162,0.5,18241.597962140775
1073,Ground-Truck,Shanghai,1629,1612.5046349653403,2164.485381360959,0.11,288.9447055394393
1074,Ocean-Freight,Singapore,2563,4438.95263089338,2800.223503684095,0.01,113.77035592979732
1075,Air-Express,Shanghai,2297,2092.778145846496,6331.301155745395,0.5,2403.555700504701
1076,Ocean-Freight,Singapore,5737,2333.987360165192,7115.762427096297,0.01,133.90085485267707
1077,Rail-Link,London,13003,1171.4608502497829,3251.069721252935,0.03,456.97516307393784
1078,Rail-Link,Singapore,1073,1181.9108488177326,3643.991261836118,0.03,38.04571022344281
1079,Air-Express,New York,7809,1526.8934737433888,5680.533421550715,0.5,5961.755568231061
1080,Air-Express,New York,8451,3365.069024214206,928.2535277101396,0.5,14219.099161817127
1081,Ground-Truck,New York,8879,1792.875721047317,2814.56901256136,0.11,1751.0837879897042
1082,Ocean-Freight,Shanghai,5953,1443.3687009280893,2757.997056784234,0.01,85.92373876624916
1083,Ocean-Freight,Shanghai,10264,2395.918099585975,6825.086580155359,0.01,245.9170337415045
1084,Rail-Link,Singapore,12478,566.937967453299,6006.370608195674,0.03,212.22755873646796
1085,Rail-Link,Singapore,11062,3708.950387373317,1865.124800651479,0.03,1230.852275553709
1086,Ground-Truck,New York,7851,222.53196726700472,250.89395431296137,0.11,192.18083225145796
1087,Air-Express,Shanghai,5245,4060.875382886396,5351.457514060726,0.5,10649.645691619573
1088,Ground-Truck,London,8693,449.34978021969255,2986.828083880502,0.11,429.6817403394766
1089,Air-Express,London,8000,4193.821663439232,3190.590582492673,0.5,16775.286653756928
1090,Ground-Truck,New York,1189,4058.83785704691,3446.269530725516,0.11,530.8554033231652
1091,Ocean-Freight,New York,11741,2609.6016447667025,920.1979088686844,0.01,306.39332911205855
1092,Air-Express,New York,6128,877.433961875683,3332.58616611393,0.5,2688.4576591870928
1093,Air-Express,Shanghai,2315,4323.017017054218,814.3743359109399,0.5,5003.892197240257
1094,Rail-Link,Shanghai,4642,1054.143804191552,142.04831175217947,0.03,146.80006617171549
1095,Ground-Truck,Singapore,14516,982.577296106072,3866.723988240703,0.11,1568.9401233303317
1096,Air-Express,Shanghai,5600,4229.262454977443,4182.165501453824,0.5,11841.93487393684
1097,Air-Express,Shanghai,14740,1546.7897398232203,5596.507641131047,0.5,11399.840382497134
1098,Ocean-Freight,London,6113,2246.486874348157,323.79510857270054,0.01,137.32774262890283
1099,Air-Express,New York,1942,494.472456241168,1000.5322837543235,0.5,480.1327550101741
1100,Rail-Link,London,12465,3883.0686175256815,3666.0987512339543,0.03,1452.0735095237285
1101,Air-Express,New York,6158,1020.3918263798788,3827.081073160014,0.5,3141.786433423647
1102,Ocean-Freight,New York,14979,184.81235124302248,4576.909884380639,0.01,27.683042092692336
