OrderID,Carrier,Origin,Distance_KM,Weight_KG,Cost_USD
1001,Air-Express,Singapore,1445,2657.313394213891,
1002,Ocean-Freight,Shanghai,8724,4950.745372492012,
1003,Ocean-Freight,New York,4177,375.3009102389737,
1004,Ocean-Freight,New York,2573,4960.954601847144,
1005,Ground-Truck,London,3081,4035.048781552404,
1006,Rail-Link,New York,6462,1331.9463326511545,
1007,Ocean-Freight,Singapore,935,1985.7366163236982,
1008,Rail-Link,Shanghai,3040,4271.976003591171,
1009,Rail-Link,New York,6496,44.41522426850679,
1010,Ground-Truck,Singapore,6045,4887.238500125497,
1011,Ocean-Freight,New York,7241,3063.3372751578386,1994.4941564800495
1012,Rail-Link,London,9392,3392.572359022001,1932.13281015366
1013,Ocean-Freight,New York,9899,565.8180727413709,3503.776948684501
1014,Rail-Link,New York,13900,4497.576202138568,538.3241743879169
1015,Rail-Link,London,2443,3082.80878866119,1649.8717170948453
1016,Air-Express,New York,11613,1965.7922446074842,6186.93213823941
1017,Rail-Link,London,7761,2372.111552790058,2372.1481699118654
1018,Rail-Link,London,7676,2132.5645627476038,5411.167970326378
1019,Ocean-Freight,Shanghai,13501,864.6749668812461,551.5769555400009
1020,Air-Express,Shanghai,779,333.7308073644785,3773.1668558558235
1021,Air-Express,London,7612,-99.0,3603.471479895335
1022,Rail-Link,London,3534,-99.0,2948.2650472608175
1023,Ground-Truck,New York,5734,-99.0,798.8764475970008
1024,Ocean-Freight,Singapore,13460,-99.0,6798.38798484853
1025,Ocean-Freight,Singapore,8788,-99.0,4559.715221345111
1026,Rail-Link,Singapore,3206,1542.5600272218342,6267.352377273702
1027,Rail-Link,Singapore,2403,1605.844588977931,3890.018266838897
1028,Air-Express,Shanghai,10095,368.3235283033059,4663.9282217882455
1029,Air-Express,Singapore,3107,4248.666209672837,1977.3952937573933
1030,Rail-Link,Singapore,9801,3818.8886262813426,4815.7643753752845
1031,Ground-Truck,New York,6008,689.5331187388376,5592.767683181512
1032,Ground-Truck,Singapore,12507,1713.5258960631697,828.011858539009
1033,Ground-Truck,Shanghai,4327,4873.218027656281,2342.9274548581125
1034,Rail-Link,New York,9538,2243.4474429719767,809.101646990969
1035,Ocean-Freight,London,928,1001.2512638931408,1372.034536797013
1036,Rail-Link,Singapore,12949,4807.561357975826,5419.462972796052
1037,Air-Express,New York,6959,2140.8159371952197,4508.914896151922
1038,Air-Express,London,12446,2704.220664342299,3228.6826498980513
1039,Air-Express,Shanghai,10249,3114.6094589272466,611.2004448647382
1040,Ground-Truck,Shanghai,1320,1075.943427819847,7909.334087897392
1041,Rail-Link,London,172,2794.7563286135064,2847.6057100346547
1042,Rail-Link,Shanghai,7334,995.1001378043933,6039.367955887418
1043,Air-Express,Singapore,12493,679.363925349581,1375.9170529251035
1044,Ground-Truck,Singapore,13089,1083.2660308652607,6020.796363465296
1045,Air-Express,Singapore,7774,422.3814182170208,5170.656678123001
1046,Ocean-Freight,Shanghai,7514,625.103345117089,5263.496966817171
1047,Rail-Link,New York,7580,3944.5028770651134,2377.991389258539
1048,Rail-Link,Singapore,11244,2462.0717038970174,2712.0406246793787
1049,Rail-Link,London,11803,4329.10708940321,1887.968844147196
1050,Rail-Link,Shanghai,11047,1267.0918343904161,2198.4038258548308
1051,Air-Express,Shanghai,3628,4828.722197457111,7555.548310381575
1052,Air-Express,New York,6408,3946.572006370231,7332.020588307357
1053,Ground-Truck,London,11170,2576.56898889323,5580.356943613263
1054,Ground-Truck,New York,8033,3904.2202606313563,6297.9466879118845
1055,Ground-Truck,London,2930,2685.450774445171,6282.675146642483
1056,Rail-Link,Shanghai,14255,3148.2116457380534,2891.3724203409033
1057,Ocean-Freight,Singapore,8966,2504.140589154346,4714.892369785392
1058,Rail-Link,Shanghai,662,2864.947261831331,4412.054595429279
1059,Ocean-Freight,London,1549,4948.049790274545,6077.922177114942
1060,Air-Express,London,12939,313.97925668061066,7579.298325918212
1061,Ground-Truck,London,6536,4237.641430769073,6537.582848378669
1062,Air-Express,Shanghai,6246,313.8967201658702,4252.262323666323
1063,Ground-Truck,Singapore,14294,1003.2889119070569,847.0104292272121
1064,Ocean-Freight,Shanghai,517,2260.518740101927,1619.1351499543907
1065,Rail-Link,London,1283,4961.794296837708,2807.8775987759595
1066,Air-Express,London,10160,2363.0794552946486,3660.881215848873
1067,Ocean-Freight,Shanghai,2856,4013.020133583887,7292.7522410819065
1068,Ocean-Freight,London,1711,3472.6860796203778,4669.036715054243
1069,Air-Express,London,11295,2104.3109419947295,1722.116702592872
1070,Air-Express,London,5479,3441.987229261453,5557.230681693919
1071,Rail-Link,Shanghai,9416,151.12996795715517,5154.212634571838
1072,Air-Express,Singapore,12527,2912.3649656167913,2351.26206034162
1073,Ground-Truck,Shanghai,1629,1612.5046349653403,2164.485381360959
1074,Ocean-Freight,Singapore,2563,4438.95263089338,2800.223503684095
1075,Air-Express,Shanghai,2297,2092.7781458464956,6331.301155745395
1076,Ocean-Freight,Singapore,5737,2333.9873601651916,7115.762427096297
1077,Rail-Link,London,13003,1171.4608502497827,3251.069721252935
1078,Rail-Link,Singapore,1073,1181.9108488177326,3643.991261836118
1079,Air-Express,New York,7809,1526.8934737433888,5680.533421550715
